Iter,LossPinn,LossPinn
0,49.526283264160156,1949.888427734375
100,0.9931952953338623,0.11204616725444794
200,0.8475666046142578,0.007247427478432655
300,0.8293418884277344,0.007318131625652313
400,0.8015835881233215,0.007044502533972263
500,0.7832064628601074,0.006877043750137091
600,0.7746520042419434,0.006757210940122604
700,0.7669700980186462,0.006659572944045067
800,0.7592140436172485,0.006565543822944164
900,0.751375138759613,0.006471224129199982
1000,0.7435053586959839,0.006376396864652634
1100,0.7356473803520203,0.0062815602868795395
1200,0.7278348207473755,0.006186145357787609
1300,0.7200916409492493,0.006090995855629444
1400,0.7124354243278503,0.005996468011289835
1500,0.7048790454864502,0.005902908276766539
1600,0.6974321603775024,0.005810084752738476
1700,0.690100371837616,0.0057184468023478985
1800,0.6828881502151489,0.005627872887998819
1900,0.6757971048355103,0.005538576748222113
2000,0.6688284277915955,0.0054504345171153545
2100,0.6619815826416016,0.005363763310015202
2200,0.6552554965019226,0.005278544034808874
2300,0.6486490964889526,0.005194652359932661
2400,0.6421599984169006,0.005112178158015013
2500,0.6357864141464233,0.005030998028814793
2600,0.6295255422592163,0.0049512009136378765
2700,0.6233749389648438,0.004872666671872139
2800,0.6173318028450012,0.004795585293322802
2900,0.6113936305046082,0.004719732794910669
3000,0.6055574417114258,0.004645297769457102
3100,0.5998210310935974,0.004571957979351282
3200,0.5941812992095947,0.004500001203268766
3300,0.588636040687561,0.004429209977388382
3400,0.5832653641700745,0.0043613421730697155
3500,0.5952162146568298,0.004303767811506987
3600,0.5727319717407227,0.0042266929522156715
3700,0.5679389238357544,0.004165399819612503
3800,0.5626408457756042,0.004096634685993195
3900,0.5577009916305542,0.004035348538309336
4000,0.5543320775032043,0.0039991759695112705
4100,0.5480222702026367,0.003913696855306625
4200,0.5434291362762451,0.003850378328934312
4300,0.5411620140075684,0.003784550353884697
4400,0.5341805219650269,0.0037383073940873146
4500,0.5298396944999695,0.0036940693389624357
4600,0.533743143081665,0.0035853846929967403
4700,0.5210062861442566,0.0035733492113649845
4800,0.5169891119003296,0.0035260296426713467
4900,0.5125385522842407,0.003466731868684292
5000,0.508537769317627,0.003419341752305627
5100,0.592738151550293,0.0034178607165813446
5200,0.50047767162323,0.0033188406378030777
5300,0.5319159626960754,0.0031850964296609163
5400,0.49274981021881104,0.003224913962185383
5500,0.4904944598674774,0.0031674604397267103
5600,0.48538240790367126,0.0031342541333287954
5700,0.48145076632499695,0.0030864691361784935
5800,0.4783244729042053,0.0030395439825952053
5900,0.47444868087768555,0.0030018710531294346
6000,0.4959852695465088,0.002967516891658306
6100,0.4677010774612427,0.0029202201403677464
6200,0.4640469253063202,0.0028764191083610058
6300,0.4612257778644562,0.0028427131474018097
6400,0.4576496183872223,0.0028006036300212145
6500,0.4572025537490845,0.0027897318359464407
6600,0.4516774117946625,0.0027298475615680218
