Folder,Final Value 1,Final Value 2,info
simulation1,0.04050770029425621,0.27360814809799194,"(SILU'>-16), (SILU'>-16)"
simulation3,0.04500269517302513,0.28197604417800903,"(SILU'>-32), (SILU'>-16)"
simulation2,0.0337785966694355,0.41978561878204346,"(SILU'>-32), (SILU'>-32)"
simulation0,0.03988513723015785,0.4408475160598755,"(SILU'>-16), (SILU'>-32)"
