Iter,LossPinn,Data Loss
0,1.0467729568481445,0.5563676357269287
5000,0.0008560437709093094,0.21481913328170776
10000,0.0008794711902737617,0.23034372925758362
15000,0.0009754786733537912,0.21554842591285706
20000,0.0010044971713796258,0.21144385635852814
25000,0.0011541210114955902,0.2175205647945404
30000,0.0009290685411542654,0.2010405957698822
35000,0.001191690331324935,0.20080363750457764
40000,0.0009734687046147883,0.20146487653255463
45000,0.0013975017936900258,0.18429672718048096
50000,0.0010824246564880013,0.2004394829273224
55000,0.0011631818488240242,0.190633624792099
60000,0.0012997868470847607,0.16745683550834656
65000,0.0012180395424365997,0.1822802573442459
70000,0.0013738503912463784,0.18412987887859344
75000,0.0012957511935383081,0.18062140047550201
80000,0.0016515598399564624,0.20343032479286194
85000,0.0014441364910453558,0.17541125416755676
90000,0.0014769508270546794,0.1877627968788147
95000,0.002060023369267583,0.18306919932365417
100000,0.0016897914465516806,0.16336891055107117
105000,0.0014197402633726597,0.170242577791214
110000,0.001297788112424314,0.1733071655035019
115000,0.0012743060942739248,0.1725153625011444
120000,0.001708614407107234,0.17953190207481384
125000,0.0017106612212955952,0.1802692413330078
130000,0.0022905117366462946,0.16991949081420898
135000,0.0020062155090272427,0.17679032683372498
140000,0.001678678672760725,0.15027551352977753
145000,0.00178235094062984,0.18323993682861328
150000,0.0017059864476323128,0.16817253828048706
155000,0.0015516139101237059,0.18666328489780426
160000,0.0019506135722622275,0.17996521294116974
165000,0.0019039676990360022,0.14481757581233978
170000,0.0018544835038483143,0.17884224653244019
175000,0.0023914286866784096,0.15721915662288666
180000,0.001978043932467699,0.19732578098773956
185000,0.0016486230306327343,0.16847538948059082
190000,0.0015716786729171872,0.17223891615867615
195000,0.0017761122435331345,0.1668170690536499
200000,0.0018123574554920197,0.186459019780159
205000,0.002363241510465741,0.15946871042251587
210000,0.0018595184665173292,0.18111078441143036
215000,0.0022347585763782263,0.1493816375732422
220000,0.002038418548181653,0.16242432594299316
225000,0.002398364245891571,0.16289010643959045
230000,0.0019432799890637398,0.17628851532936096
235000,0.0020339717157185078,0.16961780190467834
240000,0.0020224389154464006,0.18723836541175842
245000,0.001867201179265976,0.1546478569507599
250000,0.0018453223165124655,0.17281588912010193
255000,0.001660271780565381,0.1610710173845291
260000,0.002272215439006686,0.15876880288124084
265000,0.0021156000439077616,0.16868679225444794
270000,0.0018103030743077397,0.17229396104812622
275000,0.0022091746795922518,0.1598118096590042
280000,0.0026469696313142776,0.1486963927745819
285000,0.0017609535716474056,0.19366948306560516
290000,0.0022722503636032343,0.16124311089515686
295000,0.0019597967620939016,0.14650142192840576
300000,0.0020136781968176365,0.16020946204662323
305000,0.0022821840830147266,0.18284454941749573
310000,0.001912200590595603,0.16590279340744019
315000,0.0016807878855615854,0.15785083174705505
320000,0.0021126193460077047,0.15929870307445526
325000,0.0016715230885893106,0.15464097261428833
330000,0.0018815170042216778,0.15446704626083374
335000,0.0016068082768470049,0.16373933851718903
340000,0.002025797963142395,0.14264295995235443
345000,0.0021920925937592983,0.15994533896446228
350000,0.0015338086523115635,0.1637239307165146
